iter	Passed	Remaining
0	1	1682
1	3	1591
2	4	1588
3	6	1567
4	7	1579
5	9	1568
6	10	1545
7	12	1555
8	14	1581
9	16	1599
10	17	1583
11	18	1560
12	20	1566
13	22	1561
14	23	1549
15	25	1549
16	26	1552
17	28	1559
18	29	1548
19	31	1547
20	33	1539
21	34	1530
22	35	1523
23	37	1517
24	39	1523
25	40	1526
26	42	1522
27	43	1524
28	45	1519
29	46	1518
30	48	1524
31	50	1521
32	51	1518
33	53	1522
34	55	1525
35	56	1523
36	58	1520
37	59	1513
38	61	1516
39	63	1515
40	65	1531
41	67	1529
42	68	1532
43	70	1528
44	72	1528
45	73	1529
46	75	1524
47	76	1520
48	78	1517
49	79	1517
50	81	1514
51	82	1510
52	84	1506
53	85	1503
54	87	1505
55	89	1505
56	90	1501
57	92	1498
58	93	1496
59	95	1494
60	96	1489
61	98	1487
62	99	1482
63	101	1483
64	103	1483
65	104	1482
66	106	1481
67	107	1479
68	109	1478
69	111	1479
70	113	1478
71	114	1478
72	116	1475
73	117	1472
74	119	1472
75	120	1470
76	122	1467
77	124	1466
78	125	1463
79	127	1461
80	128	1460
81	130	1461
82	132	1459
83	133	1459
84	135	1456
85	137	1456
86	138	1453
87	140	1452
88	141	1450
89	143	1447
90	144	1445
91	146	1443
92	147	1440
93	149	1437
94	150	1435
95	152	1434
96	153	1433
97	155	1432
98	157	1430
99	158	1428
100	160	1425
101	162	1426
102	163	1424
103	165	1423
104	166	1423
105	168	1420
106	170	1418
107	171	1417
108	172	1414
109	174	1411
110	175	1408
111	177	1405
112	178	1403
113	180	1401
114	181	1398
115	183	1397
116	184	1396
117	186	1394
118	188	1393
119	189	1391
120	191	1389
121	193	1389
122	194	1388
123	196	1387
124	198	1389
125	200	1387
126	201	1386
127	203	1385
128	205	1384
129	206	1383
130	208	1381
131	209	1379
132	211	1378
133	212	1376
134	214	1373
135	215	1371
136	217	1371
137	219	1371
138	221	1369
139	222	1368
140	224	1366
141	226	1365
142	227	1363
143	229	1363
144	230	1361
145	232	1359
146	234	1359
147	235	1357
148	237	1356
149	238	1353
150	240	1351
151	242	1350
152	243	1350
153	245	1348
154	247	1346
155	248	1344
156	249	1342
157	251	1340
158	252	1337
159	254	1336
160	256	1334
161	257	1333
162	259	1332
163	261	1331
164	263	1331
165	264	1329
166	266	1327
167	267	1326
168	269	1325
169	271	1323
170	272	1322
171	274	1321
172	276	1319
173	277	1318
174	279	1316
175	280	1314
176	282	1312
177	283	1310
178	285	1309
179	287	1308
180	288	1307
181	290	1305
182	291	1302
183	293	1301
184	295	1299
185	296	1297
186	298	1296
187	300	1296
188	302	1295
189	303	1294
190	305	1292
191	306	1290
192	308	1288
193	309	1287
194	311	1286
195	313	1285
196	314	1282
197	316	1280
198	317	1278
199	319	1276
200	321	1278
201	323	1276
202	324	1275
203	326	1273
204	328	1272
205	329	1271
206	331	1270
207	332	1267
208	334	1266
209	336	1265
210	337	1262
211	339	1260
212	340	1258
213	342	1258
214	344	1256
215	345	1254
216	347	1252
217	348	1250
218	349	1248
219	351	1246
220	353	1244
221	354	1243
222	356	1242
223	358	1240
224	359	1238
225	361	1236
226	362	1234
227	364	1233
228	365	1231
229	368	1232
230	370	1232
231	371	1230
232	373	1228
233	374	1227
234	376	1226
235	378	1225
236	380	1223
237	381	1221
238	383	1220
239	384	1218
240	386	1216
241	387	1214
242	389	1213
243	391	1212
244	392	1210
245	394	1209
246	396	1207
247	397	1205
248	399	1204
249	400	1202
250	402	1200
251	403	1198
252	405	1196
253	407	1197
254	409	1195
255	410	1193
256	412	1192
257	413	1190
258	415	1188
259	417	1187
260	418	1185
261	420	1183
262	421	1182
263	423	1180
264	425	1179
265	426	1177
266	428	1176
267	429	1174
268	431	1173
269	433	1171
270	434	1169
271	436	1167
272	437	1165
273	439	1164
274	440	1162
275	442	1160
276	443	1158
277	445	1156
278	447	1155
279	449	1154
280	450	1152
281	452	1151
282	454	1150
283	455	1148
284	457	1147
285	458	1145
286	460	1143
287	461	1142
288	463	1140
289	465	1138
290	467	1137
291	468	1136
292	470	1134
293	471	1132
294	473	1131
295	474	1129
296	476	1127
297	477	1125
298	479	1124
299	481	1122
300	482	1120
301	484	1118
302	485	1117
303	487	1115
304	489	1115
305	491	1114
306	492	1112
307	494	1110
308	495	1109
309	497	1107
310	499	1106
311	500	1104
312	502	1102
313	503	1100
314	505	1098
315	506	1096
316	508	1095
317	509	1093
318	511	1092
319	513	1091
320	515	1089
321	516	1088
322	518	1086
323	520	1085
324	521	1084
325	523	1082
326	525	1080
327	526	1078
328	527	1076
329	529	1074
330	530	1073
331	532	1071
332	534	1069
333	536	1069
334	537	1067
335	539	1065
336	541	1064
337	542	1063
338	544	1061
339	546	1059
340	547	1058
341	549	1057
342	551	1055
343	552	1053
344	554	1052
345	556	1051
346	557	1049
347	559	1047
348	560	1045
349	561	1043
350	563	1042
351	565	1040
352	567	1039
353	568	1037
354	571	1037
355	572	1035
356	574	1034
357	575	1032
358	577	1030
359	578	1028
360	580	1027
361	583	1028
362	585	1027
363	587	1026
364	589	1024
365	591	1024
366	593	1022
367	594	1021
368	596	1019
369	597	1018
370	599	1016
371	601	1015
372	603	1013
373	604	1012
374	606	1011
375	608	1010
376	610	1008
377	612	1007
378	613	1006
379	616	1005
380	617	1004
381	619	1002
382	621	1001
383	623	999
384	624	998
385	626	996
386	628	994
387	629	993
388	631	991
389	633	990
390	634	988
391	636	987
392	638	986
393	640	984
394	642	983
395	644	982
396	646	981
397	647	979
398	649	978
399	651	976
400	653	975
401	654	974
402	656	972
403	658	970
404	659	969
405	661	968
406	663	966
407	665	965
